,onetsoc_code,element_id,scale_id,data_value
100,11-1011.03,2.C.4.e_IM,IM,2.88
101,11-1011.03,2.C.4.e_LV,LV,3.24
102,11-1011.03,2.C.4.f_IM,IM,2.38
103,11-1011.03,2.C.4.f_LV,LV,3.36
104,11-1011.03,2.C.4.g_IM,IM,2.46
105,11-1011.03,2.C.4.g_LV,LV,3.81
106,11-1011.03,2.C.5.a_IM,IM,1.23
107,11-1011.03,2.C.5.a_LV,LV,0.54
108,11-1011.03,2.C.5.b_IM,IM,1.23
109,11-1011.03,2.C.5.b_LV,LV,0.54
110,11-1011.03,2.C.6_IM,IM,3.48
111,11-1011.03,2.C.6_LV,LV,5.19
112,11-1011.03,2.C.7.a_IM,IM,3.81
113,11-1011.03,2.C.7.a_LV,LV,4.48
114,11-1011.03,2.C.7.b_IM,IM,1.4
115,11-1011.03,2.C.7.b_LV,LV,0.88
116,11-1011.03,2.C.7.c_IM,IM,1.38
117,11-1011.03,2.C.7.c_LV,LV,0.96
118,11-1011.03,2.C.7.d_IM,IM,1.8
119,11-1011.03,2.C.7.d_LV,LV,1.88
120,11-1011.03,2.C.7.e_IM,IM,1.85
121,11-1011.03,2.C.7.e_LV,LV,2.42
122,11-1011.03,2.C.8.a_IM,IM,2.4
123,11-1011.03,2.C.8.a_LV,LV,3.38
124,11-1011.03,2.C.8.b_IM,IM,2.88
125,11-1011.03,2.C.8.b_LV,LV,3.08
126,11-1011.03,2.C.9.a_IM,IM,1.58
127,11-1011.03,2.C.9.a_LV,LV,0.81
128,11-1011.03,2.C.9.b_IM,IM,2.84
129,11-1011.03,2.C.9.b_LV,LV,2.92
130,11-1011.03,2.C.10_IM,IM,2.42
131,11-1011.03,2.C.10_LV,LV,2.48
132,11-1021.00,2.C.1.a_IM,IM,4.35
133,11-1021.00,2.C.1.a_LV,LV,5.21
134,11-1021.00,2.C.1.b_IM,IM,3.51
135,11-1021.00,2.C.1.b_LV,LV,3.7
136,11-1021.00,2.C.1.c_IM,IM,3.47
137,11-1021.00,2.C.1.c_LV,LV,3.84
138,11-1021.00,2.C.1.d_IM,IM,3.47
139,11-1021.00,2.C.1.d_LV,LV,4.05
140,11-1021.00,2.C.1.e_IM,IM,3.95
141,11-1021.00,2.C.1.e_LV,LV,5.06
142,11-1021.00,2.C.1.f_IM,IM,3.76
143,11-1021.00,2.C.1.f_LV,LV,4.43
144,11-1021.00,2.C.2.a_IM,IM,3.39
145,11-1021.00,2.C.2.a_LV,LV,4.34
146,11-1021.00,2.C.2.b_IM,IM,1.34
147,11-1021.00,2.C.2.b_LV,LV,0.49
148,11-1021.00,2.C.3.a_IM,IM,3.33
149,11-1021.00,2.C.3.a_LV,LV,4.0
150,11-1021.00,2.C.3.b_IM,IM,2.42
151,11-1021.00,2.C.3.b_LV,LV,2.31
152,11-1021.00,2.C.3.c_IM,IM,2.38
153,11-1021.00,2.C.3.c_LV,LV,2.66
154,11-1021.00,2.C.3.d_IM,IM,2.51
155,11-1021.00,2.C.3.d_LV,LV,2.62
156,11-2021.00,2.C.6_LV,LV,4.15
157,11-1021.00,2.C.3.e_IM,IM,2.71
158,11-1021.00,2.C.3.e_LV,LV,2.91
159,11-1021.00,2.C.4.a_IM,IM,3.56
160,11-1021.00,2.C.4.a_LV,LV,4.16
161,11-1021.00,2.C.4.b_IM,IM,1.81
162,11-1021.00,2.C.4.b_LV,LV,1.4100000000000001
163,11-1021.00,2.C.4.c_IM,IM,1.9500000000000002
164,11-1021.00,2.C.4.c_LV,LV,1.74
165,11-1021.00,2.C.4.d_IM,IM,1.5
166,11-1021.00,2.C.4.d_LV,LV,0.9
167,11-1021.00,2.C.4.e_IM,IM,2.7199999999999998
168,11-1021.00,2.C.4.e_LV,LV,2.7800000000000002
169,11-1021.00,2.C.4.f_IM,IM,1.81
170,11-1021.00,2.C.4.f_LV,LV,1.3
171,11-1021.00,2.C.4.g_IM,IM,1.76
172,11-1021.00,2.C.4.g_LV,LV,1.6800000000000002
173,11-1021.00,2.C.5.a_IM,IM,1.55
174,11-1021.00,2.C.5.a_LV,LV,0.86
175,11-1021.00,2.C.5.b_IM,IM,1.77
176,11-1021.00,2.C.5.b_LV,LV,1.48
177,11-1021.00,2.C.6_IM,IM,2.9699999999999998
178,11-1021.00,2.C.6_LV,LV,3.87
179,11-1021.00,2.C.7.a_IM,IM,3.71
180,11-1021.00,2.C.7.a_LV,LV,3.68
181,11-1021.00,2.C.7.b_IM,IM,1.62
182,11-1021.00,2.C.7.b_LV,LV,1.13
183,11-1021.00,2.C.7.c_IM,IM,1.16
184,11-1021.00,2.C.7.c_LV,LV,0.47000000000000003
185,11-1021.00,2.C.7.d_IM,IM,1.21
186,11-1021.00,2.C.7.d_LV,LV,0.43
187,11-1021.00,2.C.7.e_IM,IM,1.51
188,11-1021.00,2.C.7.e_LV,LV,0.87
189,11-1021.00,2.C.8.a_IM,IM,3.1
190,11-1021.00,2.C.8.a_LV,LV,3.12
191,11-1021.00,2.C.8.b_IM,IM,2.95
192,11-1021.00,2.C.8.b_LV,LV,3.12
193,11-1021.00,2.C.9.a_IM,IM,2.5
194,11-1021.00,2.C.9.a_LV,LV,2.33
195,11-1021.00,2.C.9.b_IM,IM,2.59
196,11-1021.00,2.C.9.b_LV,LV,2.68
197,11-1021.00,2.C.10_IM,IM,2.2
