,onetsoc_code,element_id,scale_id,data_value
95,11-1011.03,4.A.2.a.2_LV,LV,4.65
96,11-1011.03,4.A.2.a.3_IM,IM,4.12
97,11-1011.03,4.A.2.a.3_LV,LV,4.65
98,11-1011.03,4.A.2.a.4_IM,IM,3.85
99,11-1011.03,4.A.2.a.4_LV,LV,4.54
100,11-1011.03,4.A.2.b.1_IM,IM,4.48
101,11-1011.03,4.A.2.b.1_LV,LV,5.4
102,11-1011.03,4.A.2.b.2_IM,IM,4.5
103,11-1011.03,4.A.2.b.2_LV,LV,5.35
104,11-1011.03,4.A.2.b.3_IM,IM,4.35
105,11-1011.03,4.A.2.b.3_LV,LV,5.54
106,11-1011.03,4.A.2.b.4_IM,IM,4.31
107,11-1011.03,4.A.2.b.4_LV,LV,5.12
108,11-1011.03,4.A.2.b.5_IM,IM,3.65
109,11-1011.03,4.A.2.b.5_LV,LV,4.96
110,11-1011.03,4.A.2.b.6_IM,IM,4.16
111,11-1011.03,4.A.2.b.6_LV,LV,5.5600000000000005
112,11-1011.03,4.A.3.a.1_IM,IM,1.77
113,11-1011.03,4.A.3.a.1_LV,LV,1.77
114,11-1011.03,4.A.3.a.2_IM,IM,1.62
115,11-1011.03,4.A.3.a.2_LV,LV,1.58
116,11-1011.03,4.A.3.a.3_IM,IM,1.3599999999999999
117,11-1011.03,4.A.3.a.3_LV,LV,0.8
118,11-1011.03,4.A.3.a.4_IM,IM,1.5
119,11-1011.03,4.A.3.a.4_LV,LV,0.85
120,11-1011.03,4.A.3.b.1_IM,IM,4.32
121,11-1011.03,4.A.3.b.1_LV,LV,3.54
122,11-1011.03,4.A.3.b.2_IM,IM,2.56
123,11-1011.03,4.A.3.b.2_LV,LV,3.32
124,11-1011.03,4.A.3.b.4_IM,IM,1.12
125,11-1011.03,4.A.3.b.4_LV,LV,0.21
126,11-1011.03,4.A.3.b.5_IM,IM,1.12
127,11-1011.03,4.A.3.b.5_LV,LV,0.2
128,11-1011.03,4.A.3.b.6_IM,IM,3.44
129,11-1011.03,4.A.3.b.6_LV,LV,3.83
130,11-1011.03,4.A.4.a.1_IM,IM,4.08
131,11-1011.03,4.A.4.a.1_LV,LV,4.65
132,11-1011.03,4.A.4.a.2_IM,IM,4.58
133,11-1011.03,4.A.4.a.2_LV,LV,5.64
134,11-1011.03,4.A.4.a.3_IM,IM,4.46
135,11-1011.03,4.A.4.a.3_LV,LV,6.04
136,11-1011.03,4.A.4.a.4_IM,IM,4.28
137,11-1011.03,4.A.4.a.4_LV,LV,5.65
138,11-1011.03,4.A.4.a.5_IM,IM,2.23
139,11-1011.03,4.A.4.a.5_LV,LV,2.15
140,11-1011.03,4.A.4.a.6_IM,IM,3.85
141,11-1011.03,4.A.4.a.6_LV,LV,5.24
142,11-1011.03,4.A.4.a.7_IM,IM,3.54
143,11-1011.03,4.A.4.a.7_LV,LV,5.04
144,11-1011.03,4.A.4.a.8_IM,IM,3.16
145,11-1011.03,4.A.4.a.8_LV,LV,3.88
146,11-1011.03,4.A.4.b.1_IM,IM,3.96
147,11-1011.03,4.A.4.b.1_LV,LV,5.19
148,11-1011.03,4.A.4.b.2_IM,IM,4.12
149,11-1011.03,4.A.4.b.2_LV,LV,4.65
150,11-1011.03,4.A.4.b.3_IM,IM,4.12
151,11-1011.03,4.A.4.b.3_LV,LV,4.68
152,11-1011.03,4.A.4.b.4_IM,IM,3.88
153,11-1011.03,4.A.4.b.4_LV,LV,4.68
154,11-1011.03,4.A.4.b.5_IM,IM,3.64
155,11-1011.03,4.A.4.b.5_LV,LV,4.72
156,11-1011.03,4.A.4.b.6_IM,IM,3.96
157,11-1011.03,4.A.4.b.6_LV,LV,5.68
158,11-1011.03,4.A.4.c.1_IM,IM,3.0
159,11-1011.03,4.A.4.c.1_LV,LV,3.81
160,11-1011.03,4.A.4.c.2_IM,IM,2.62
161,11-1011.03,4.A.4.c.2_LV,LV,3.77
162,11-1011.03,4.A.4.c.3_IM,IM,3.35
163,11-1011.03,4.A.4.c.3_LV,LV,4.31
164,11-1021.00,4.A.1.a.1_IM,IM,4.26
165,11-1021.00,4.A.1.a.1_LV,LV,4.14
166,11-1021.00,4.A.1.a.2_IM,IM,4.07
167,11-1021.00,4.A.1.a.2_LV,LV,4.31
